"","X","year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage"
"731",453319,2009,51,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.59061783348625,267.901086855275
"732",231608,2006,47,"4. Divorced","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.16136800223498,174.402876012275
"733",87803,2004,52,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.89762709129044,133.971500070695
"734",154604,2003,31,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.04139268515823,154.68529299563
"735",304641,2007,40,"2. Married","2. Black","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.04139268515823,154.68529299563
"736",452853,2009,26,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.77815125038364,118.884359339886
"737",85681,2004,49,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.55630250076729,95.2307125669819
"738",452452,2009,38,"4. Divorced","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.69897000433602,109.833985642199
"739",8297,2005,50,"2. Married","4. Other","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.7160033436348,111.720849360989
"740",233667,2006,63,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.90308998699194,134.705375118879
"741",377125,2008,35,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.45319598633954,85.9010443226556
"742",380656,2008,29,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.77815125038364,118.884359339886
"743",374314,2008,33,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.47712125471966,87.9810327856054
"744",306069,2007,29,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.53147891704226,92.8958447894966
"745",306727,2007,62,"4. Divorced","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.69897000433602,109.833985642199
"746",379612,2008,45,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.82607480270083,124.720446242886
"747",153785,2003,56,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.85125834871908,127.901232979118
"748",157154,2003,58,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.57978359661681,97.4932940453934
"749",306904,2007,39,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.29003461136252,198.350290464385
"750",9761,2005,49,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.53147891704226,92.8958447894966
"751",86702,2004,24,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.54406804435028,94.0727147457005
"752",158105,2003,61,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5,148.413159102577
"753",379806,2008,58,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.38021124171161,79.8549003093467
"754",449268,2009,47,"2. Married","3. Asian","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.77815125038364,118.884359339886
"755",83615,2004,41,"5. Separated","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.47712125471966,87.9810327856054
"756",378890,2008,71,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.54406804435028,94.0727147457005
"757",230899,2006,47,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.01110502981598,150.070476909424
"758",9311,2005,38,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",5.17609125905568,176.989650489877
"759",7750,2005,31,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.30102999566398,73.7757432746946
"760",302750,2007,56,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.82930377283103,125.12381572196
"761",231066,2006,44,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.62689955920852,277.79948020565
"762",157343,2003,33,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.68124123737559,107.903923866876
"763",9952,2005,36,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.10659881321254,60.7397785177603
"764",233281,2006,31,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.52218331761869,92.0363233010764
"765",86503,2004,55,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.69897000433602,109.833985642199
"766",14172,2005,48,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.20411998265593,66.9616443217359
"767",14341,2005,50,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.74036268949424,114.475713290347
"768",231725,2006,42,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.13987908640124,170.6951277113
"769",377627,2008,25,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.8750612633917,130.982177377461
"770",375298,2008,55,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.84509804001426,127.115743812184
"771",84172,2004,28,"1. Never Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.76342799356294,117.146816914805
"772",154047,2003,30,"2. Married","4. Other","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.81291335664286,123.089699847943
"773",375008,2008,46,"1. Never Married","2. Black","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.79239168949825,120.589436530402
"774",86259,2004,48,"4. Divorced","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.8750612633917,130.982177377461
"775",230737,2006,42,"4. Divorced","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.39794000867204,81.2832532842527
"776",378052,2008,23,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",3.60205999132796,36.6737041960799
"777",155909,2003,60,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.65321251377534,104.921506533664
"778",375457,2008,34,"2. Married","2. Black","1. < HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.3096301674259,74.412963512917
"779",155588,2003,45,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.86033800657099,129.067820506745
"780",306550,2007,28,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.4320066872696,84.1000101164483
"781",82560,2004,33,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.22530928172586,185.918662879754
"782",379734,2008,58,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.66275783168157,105.927810775063
"783",376576,2008,47,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.09691001300806,163.515863976238
"784",158927,2003,24,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.14612803567824,63.1888610037461
"785",374739,2008,56,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.90308998699194,134.705375118879
"786",83417,2004,56,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.79518458968242,120.926701544426
"787",14351,2005,23,"1. Never Married","4. Other","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.54406804435028,94.0727147457005
"788",159265,2003,56,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.88649072517248,132.487821126123
"789",157150,2003,45,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.89209460269048,133.232350826567
"790",451548,2009,58,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.97772360528885,145.143601176911
"791",302614,2007,30,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.77815125038364,118.884359339886
"792",453033,2009,46,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",5.01283722470517,150.330653495766
"793",84994,2004,48,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.63108441419736,278.964466695847
"794",227948,2006,50,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.58771096501891,98.2692308087927
"795",380920,2008,43,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"796",231461,2006,37,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.54406804435028,94.0727147457005
"797",160102,2003,49,"4. Divorced","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.17609125905568,176.989650489877
"798",449353,2009,31,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.11394335230684,166.324941233877
"799",448411,2009,54,"2. Married","3. Asian","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.54406804435028,94.0727147457005
"800",306810,2007,52,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.93951925261862,139.703071527658
"801",155681,2003,70,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.36172783601759,78.3924668009837
"802",10055,2005,30,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.95424733490676,141.775856466307
"803",233682,2006,44,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.75587485567249,116.265324062503
"804",157882,2003,34,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5,148.413159102577
"805",302173,2007,38,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.47712125471966,87.9810327856054
"806",231216,2006,28,"5. Separated","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.50514997831991,90.4819133566401
"807",9850,2005,38,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.95424250943933,141.77517233318
"808",161403,2003,39,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.14460533871474,63.0927167348386
"809",377645,2008,52,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.17609125905568,65.1108537153447
"810",84260,2004,34,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.02118929906994,151.591484239814
"811",155985,2003,33,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.81291335664286,123.089699847943
"812",306353,2007,45,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.77815125038364,118.884359339886
"813",228023,2006,58,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.38021124171161,79.8549003093467
"814",156832,2003,38,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.64443858946784,104.004959912222
"815",304488,2007,63,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.01703333929878,55.5361044177385
"816",305737,2007,38,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"817",303148,2007,31,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.60205999132796,99.6894636984864
"818",302080,2007,53,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.26503255685882,193.452606894109
"819",447857,2009,21,"1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.63346845557959,102.870246933215
"820",233741,2006,38,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.10380372095596,164.646988930328
"821",85657,2004,18,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.24303804868629,69.6190369046763
"822",379124,2008,28,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"823",157694,2003,33,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.74036268949424,114.475713290347
"824",83479,2004,32,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.60205999132796,99.6894636984864
"825",450888,2009,29,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.55630250076729,95.2307125669819
"826",14252,2005,28,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.41497334797082,82.6796372966372
"827",14421,2005,42,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.76168733198664,116.943081320617
"828",301908,2007,28,"3. Widowed","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4,54.5981500331442
"829",452061,2009,36,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.92941892571429,138.299126920883
"830",304906,2007,47,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.8750612633917,130.982177377461
"831",302424,2007,53,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.64100585131578,281.745970551857
"832",159404,2003,48,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.09691001300806,163.515863976238
"833",231750,2006,36,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.18858541025256,179.214858036271
"834",305745,2007,55,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.83884909073726,126.323880709786
"835",376178,2008,37,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.25527250510331,70.4760196469445
"836",450343,2009,68,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.77085201164214,118.019753340006
"837",160548,2003,65,"2. Married","4. Other","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.26717172840301,71.3196387942183
"838",302678,2007,37,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.74036268949424,114.475713290347
"839",302085,2007,33,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.92941892571429,138.299126920883
"840",159635,2003,19,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4,54.5981500331442
"841",81174,2004,50,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.54406804435028,94.0727147457005
"842",82948,2004,22,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.38738982633873,80.4302079458208
"843",82251,2004,40,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.49136169383427,89.2428846644714
"844",379828,2008,45,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.76342799356294,117.146816914805
"845",450063,2009,36,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.84509804001426,127.115743812184
"846",9535,2005,37,"2. Married","3. Asian","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.39794000867204,81.2832532842527
"847",154111,2003,24,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",3.95904139232109,52.4070640482002
"848",305404,2007,66,"2. Married","2. Black","1. < HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"849",85550,2004,35,"2. Married","3. Asian","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.14612803567824,63.1888610037461
"850",447980,2009,33,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.27875360095283,196.125272594255
"851",14481,2005,44,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.6232492903979,101.82435207568
"852",85819,2004,48,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.68124123737559,107.903923866876
"853",450651,2009,47,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",3.93651374247889,51.2396549228382
"854",82222,2004,41,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"855",12508,2005,55,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.14612803567824,63.1888610037461
"856",377741,2008,74,"4. Divorced","2. Black","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5,148.413159102577
"857",302139,2007,33,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"858",153833,2003,62,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.8750612633917,130.982177377461
"859",85624,2004,56,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.6232492903979,101.82435207568
"860",230790,2006,29,"1. Never Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"861",449764,2009,56,"1. Never Married","2. Black","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.38021124171161,79.8549003093467
"862",449202,2009,47,"2. Married","2. Black","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.07918124604763,160.642475408263
"863",13741,2005,45,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.90308998699194,134.705375118879
"864",302523,2007,44,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.07918124604763,160.642475408263
"865",81623,2004,25,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.51851393987789,91.6992261117042
"866",13718,2005,45,"4. Divorced","2. Black","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.32221929473392,75.3556793180091
"867",10378,2005,40,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.91381385238372,136.15771083723
"868",161366,2003,56,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.90308998699194,134.705375118879
"869",9215,2005,56,"2. Married","3. Asian","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.40654018043396,81.9853178344996
"870",157493,2003,47,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.17609125905568,176.989650489877
"871",302363,2007,39,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.7781657266251,118.886080351034
"872",11991,2005,38,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.7979596437372,121.262745732618
"873",449684,2009,48,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.54406804435028,94.0727147457005
"874",11238,2005,44,"2. Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.60205999132796,99.6894636984864
"875",159751,2003,42,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.81954393554187,123.908567597957
"876",452407,2009,55,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.77815125038364,118.884359339886
"877",233537,2006,61,"1. Never Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.41497334797082,82.6796372966372
"878",229847,2006,39,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.39794000867204,81.2832532842527
"879",9864,2005,30,"2. Married","2. Black","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.65321251377534,104.921506533664
"880",447299,2009,49,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.60205999132796,99.6894636984864
"881",231895,2006,33,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.91381385238372,136.15771083723
"882",230128,2006,31,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.39794000867204,81.2832532842527
"883",12999,2005,35,"1. Never Married","3. Asian","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.22696059353245,68.5086896572248
"884",160782,2003,55,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.39794000867204,81.2832532842527
"885",379257,2008,36,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.74036268949424,114.475713290347
"886",161228,2003,37,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.77085201164214,118.019753340006
"887",232829,2006,33,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.60205999132796,99.6894636984864
"888",234092,2006,48,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.77815125038364,118.884359339886
"889",84421,2004,47,"2. Married","3. Asian","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.77815125038364,118.884359339886
"890",157953,2003,60,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.81291335664286,123.089699847943
"891",86497,2004,28,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.69897000433602,109.833985642199
"892",7737,2005,28,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.63346845557959,102.870246933215
"893",13471,2005,48,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.09691001300806,163.515863976238
"894",448820,2009,29,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.76342799356294,117.146816914805
"895",85643,2004,40,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.52504480703685,92.3000614282589
"896",453480,2009,32,"1. Never Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.60530504614111,100.013486924706
"897",85241,2004,33,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.00860017176192,55.0697284222779
"898",156206,2003,40,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.6232492903979,101.82435207568
"899",84713,2004,42,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5,148.413159102577
"900",155666,2003,36,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.7481880270062,115.375038556391
"901",83567,2004,39,"2. Married","2. Black","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.30102999566398,73.7757432746946
"902",449541,2009,44,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.59061783348625,267.901086855275
"903",448368,2009,43,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.86332286012046,129.453644576625
"904",377037,2008,44,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.56820172406699,96.3706528322308
"905",231115,2006,29,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.47712125471966,87.9810327856054
"906",305375,2007,49,"2. Married","2. Black","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.65321251377534,104.921506533664
"907",303226,2007,47,"2. Married","2. Black","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.8750612633917,130.982177377461
"908",85015,2004,46,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.24990244443139,190.547678564741
"909",228219,2006,41,"4. Divorced","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.77085201164214,118.019753340006
"910",379558,2008,52,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.38021124171161,79.8549003093467
"911",160043,2003,43,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.28330122870355,72.4793162971252
"912",82149,2004,38,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5,148.413159102577
"913",156798,2003,42,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.31005573775089,74.4446382014083
"914",9029,2005,56,"2. Married","2. Black","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.77815125038364,118.884359339886
